Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Bwd Packets/s,SYN Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,Down/Up Ratio,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Active Mean,Active Std,Idle Std,Label
17,49,2,0,458.0,229.0,229.0,0.0,0.0,0.0,9346938.775510203,40816.32653061225,49.0,49.0,0.0,0.0,0.0,0,16,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,NetBIOS
17,1,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,2960,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,458.0,229.0,229.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,28,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,NetBIOS
17,1,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,28,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,64,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,2,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,1472000000.0,1000000.0,2.0,2.0,0.0,0.0,0.0,0,2792,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,49,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,60081632.653061226,40816.32653061225,49.0,49.0,0.0,0.0,0.0,0,2960,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,2848.0,1424.0,1424.0,0.0,0.0,0.0,2848000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,458.0,229.0,229.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,40,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,NetBIOS
17,1,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,-2,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,458.0,229.0,229.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,NetBIOS
17,2,2,0,2544.0,1272.0,1272.0,0.0,0.0,0.0,1272000000.0,1000000.0,2.0,2.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,16,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,40,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,2848.0,1424.0,1424.0,0.0,0.0,0.0,2848000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,16,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,2,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,1472000000.0,1000000.0,2.0,2.0,0.0,0.0,0.0,0,40,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,2,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,1472000000.0,1000000.0,2.0,2.0,0.0,0.0,0.0,0,2848,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,-2125437944,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
17,1,2,0,2944.0,1472.0,1472.0,0.0,0.0,0.0,2944000000.0,2000000.0,1.0,1.0,0.0,0.0,0.0,0,132,0,0.0,0,0,0,0,0.0,-1,-1,1,0.0,0.0,0.0,LDAP
